,RGIId_Full,x,y,elevation,dh1,void_mask,Area,Zmin,Zmed,Zmax,Slope,dc_ratio,HI,sin_Aspect,cos_Aspect
15,RGI60-15.03230,88.2824999891147,27.503611122109643,5352.44091797,-0.941918909549713,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
16,RGI60-15.03230,88.28277776689248,27.503611122109643,5366.58154297,-0.895334243774414,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
17,RGI60-15.03230,88.28305554467026,27.503611122109643,5373.52636719,-0.785490393638611,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
18,RGI60-15.03230,88.28333332244804,27.503611122109643,5373.34814453,-0.55807888507843,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
19,RGI60-15.03230,88.28361110022583,27.503611122109643,5367.70654297,-0.55807888507843,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
20,RGI60-15.03230,88.28388887800361,27.503611122109643,5363.3203125,-0.028240505605936,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
21,RGI60-15.03230,88.28166665578135,27.50333334433189,5285.34716797,-0.669287800788879,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
22,RGI60-15.03230,88.28194443355913,27.50333334433189,5297.07861328,-0.698846697807312,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
23,RGI60-15.03230,88.28222221133692,27.50333334433189,5315.56054688,-0.880375564098358,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
24,RGI60-15.03230,88.2824999891147,27.50333334433189,5334.55566406,-0.917359888553619,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
